,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,amie Helpbot,ペネトレイト・オブ・リミット株式会社,"シナリオ作成は一切不要！
既にあるドキュメントやＦＡＱを自動で学習！
最短1日で導入可能なお手軽チャットボット。",お問い合わせください,お問い合わせください,なし,あり,https://ai-products.net/product/amie-helpbot/
1,Vareal NLP（自然言語処理）システム構築/導入サービス,Vareal株式会社,Vareal NLP（自然言語処理）システム構築/導入サービス,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/vareal-nlp/
2,テキスト解析モデル構築サービス,株式会社エーアイスクエア,"要約・分類・重要文抽出等各種AIエンジンを組み合わせて、
目的に応じた機械学習モデルを提供",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/textservice/
3,AIME-NLP,AIMENEXT JAPAN 株式会社,"「言葉の価値」を最大化する
自然言語処理「AIME-NLP」エンジン",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/aime-nlp/
4,Nextremer AI エンジン,株式会社Nextremer,"豊富な研究受託実績を基に開発された
AIプラットフォームやAIエンジンを提供",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/ai-engine/
5,minarai CS chat,株式会社Nextremer,"シンプルなUIで直感的な操作が可能なAIチャットボット
最も重要なシナリオの運用をAIトレーナーが手厚くサポート","50,000円/月〜",なし,あり,あり,https://ai-products.net/product2/minarai-cs-chat/
6,オーダーメイドAI開発「カスタムAI」,株式会社 Laboro.AI,オーダーメイドAI開発「カスタムAI」,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/custom-ai/
7,ZUKKU,エス・アンド・アイ株式会社,"わずか10cm！手のひらサイズの
マーケティング支援AIロボット",2万円/台,136.5万円〜,なし,なし,https://ai-products.net/product/image-recognition-marketing-zukku/
8,Rosette テキスト解析プラットフォーム,ベイシス・テクノロジー株式会社,豊富な機能を組み合わせることにより、さまざまな業務要件、テキストデータに柔軟に対応,お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/rosette/
9,汎用AIチャットボットCB3,NDIソリューションズ株式会社,"汎用AIチャットボット　社内・社外からのお問い合わせは
私たちに任せてください",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/chatbot-ai-cb3/
10,MatrixFlow,株式会社MatrixFlow,ドラッグ＆ドロップであなたがデータサイエンティストに。,0円～,お問い合わせ下さい,あり,あり,https://ai-products.net/product/matrixflow/
11,direct,株式会社L is B,「direct」+ 「チャットボット」でビジネスはさらに進化する,0円,0円,あり（10名まで）,なし,https://ai-products.net/product/chatbot-direct/
12,FirstSearch,株式会社バイタリフィ,"FirstSearchの検索システムがAI・人工知能の検索で
「探し方」を変える！",月額10万円～,50万円～,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/search-system-firstsearch/
13,たよれーるAIチャットボットサービス,株式会社大塚商会,"IBM Watsonの自然言語処理機能を利用した
大塚商会オリジナルのシステムです","70,000円/月","400,000円",なし,3ヶ月無料（初期費用別途要）,https://ai-products.net/product2/tayoreru/
14,Astrategy,ストックマーク株式会社,敵を知る。先手を打てる。,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/business-automation-support-astrategy/
15,感情解析API,メタデータ株式会社,文章から感情を手軽に数値として抽出,1件あたり～5円,お問い合わせ下さい,あり,あり,https://ai-products.net/product/api-emotion-analyzer/
16,Click Navi,住友電工情報システム株式会社,AIで「探し方」改革！ クリックだけで情報探し！,初期費用の20%,"2,500,000円～",なし,あり,https://ai-products.net/product/search-system-click-navi/
17,Sakura TALK,株式会社アースリンク,リード獲得のための会話AI,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/inside-sales-sakura-talk/
18,Concierge U,株式会社コンシェルジュ,プログラミング不要の高機能AIチャットボット,10万円～,5万円～,―,―,https://ai-products.net/product/concierge-u/
19,FirstContact,株式会社バイタリフィ,高機能、ハイコストパフォーマンスなAIチャットボット,"月額2,980円～",0円,なし,あり,https://ai-products.net/product/chatbot-firstcontact/
