,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,PriceRobo,株式会社エーエヌラボ,PriceRobo,お問い合わせください,お問い合わせください,お問い合わせください,あり,https://ai-products.net/product/pricerobo/
1,Forecasting Experience,株式会社Idrasys,"企業の実績やノウハウをデータ化、
未来の予測に活用する【AI予測プラットフォーム】",10万円／月額～,なし,なし,あり,https://ai-products.net/product/forecasting-experience/
2,ZIA™ Cloud SAFE,株式会社ディジタルメディアプロフェッショナル,SaaS型安全運転支援クラウドサービス「ZIA™ Cloud SAFE」,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/zia-cloud-safe/
3,Verint 会話音声分析 (Speech Analytics),ベリントシステムズジャパン株式会社,"世界で採用されているVoC分析
音声コンプライアンスソリューション
音声認識AIで自動分析を提供",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/sanalytics/
4,Arkプロセスマイニング,PLAY株式会社,Arkプロセスマイニング,"50,000円/月~",なし,なし,あり,https://ai-products.net/product/ark-process/
5,Vareal AI教育・トレーニングサービス,Vareal株式会社,Vareal AI教育・トレーニングサービス,お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/vareal-education/
6,AIコンサルティング,株式会社グリッド,高度なAI人材提供サービス,お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/ai-consulting/
7,Datatang AIデータ処理プラットフォームサービス,Datatang 株式会社,Datatang AIデータ処理プラットフォームサービス,少量でもOK、ご要件に基づき、個別見積,なし,AI学習用データサンプル無償提供,AI学習用データサンプル無償提供,https://ai-products.net/product/dt-platform/
8,AIME-NLP,AIMENEXT JAPAN 株式会社,"「言葉の価値」を最大化する
自然言語処理「AIME-NLP」エンジン",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/aime-nlp/
9,HR君アナリティクス,株式会社エクサウィザーズ,AIのチカラをあらゆる社員にとってのあたりまえに,お問い合わせ下さい,0円,なし,お問い合わせ下さい,https://ai-products.net/product/hr-analytics/
10,アイトラッキング（視線計測）,トビー・テクノロジー株式会社,目は口程に物を言う,お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/automation-support-eyetracking/
11,Einstein Analytics,株式会社セールスフォース・ドットコム,"AIを搭載した分析プラットフォームで
データを自動で分析、予測",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,あり,https://ai-products.net/product/einstein-analytics/
