,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,nununi,awoo Japan 株式会社,nununi,要相談,要相談,なし,なし,https://ai-products.net/product/nununi/
1,HUE Works Suite DX Solutions Chatbot,株式会社ワークスアプリケーションズ,"AI研究の専門機関”徳島人工知能NLP研究所”が開発！
日本最大規模の辞書を搭載したAIチャットボット",月額10万円～,30万円～,なし,あり,https://ai-products.net/product/hue/
2,hachidori Popup,hachidori株式会社,"ツールを入れるだけで
CVRが劇的に改善する離脱防止ツール","月額固定費用
30,000円
※hachidoriと併用で
10,000円",0円,お問い合わせください,お問い合わせください,https://ai-products.net/product/hachidori-popup/
3,AIチャット SCHATTI,株式会社ZeQ,"対応効率35％UP↑ 返答時間20％DOWN↓
学習機能を備えたAI回答補助&チャットボットが
スマートで心地よい顧客体験を創出します",お問い合せください,お問い合せください,なし,あり,https://ai-products.net/product/schatti/
4,Benefitter,伊藤忠テクノソリューションズ株式会社,"CTCの最適解！働き方を進化させる
DXチャットボットプラットフォーム","個別見積となりますので、
お問い合わせください。","個別見積となりますので、
お問い合わせください。",なし,あり,https://ai-products.net/product/benefitter/
5,デジタルヒューマン,デジタルヒューマン株式会社,"人間らしさとAIのメリットを融合。
新しい顧客体験を提供する
「対話+感情表現 AIインターフェース」","135,000円/月〜",0円,なし,あり,https://ai-products.net/product/digital-human/
6,Robee,株式会社Macbee Planet,"新たな視点を加えたLTV向上ソリューション
「Robee」",5万円～／月,0円,お問い合わせください,お問い合わせください,https://ai-products.net/product/robee/
7,qualva,株式会社 PROFESSY,コンバージョンチャットボットqualva（クオルバ）,月額1万円〜,5万円〜,なし,なし,https://ai-products.net/product/qualva/
8,minarai CS chat,株式会社Nextremer,"シンプルなUIで直感的な操作が可能なAIチャットボット
最も重要なシナリオの運用をAIトレーナーが手厚くサポート","50,000円/月〜",なし,あり,あり,https://ai-products.net/product2/minarai-cs-chat/
9,デクワス.RECO,サイジニア株式会社,"売れているものを売るだけでなく、まだ見つけられていない
ロングテールの商品もおすすめするレコメンドサービス",20万円/月～,50万円～,なし,なし,https://ai-products.net/product/deqwas-reco/
10,OK SKY Chat Cloud,株式会社空色,リアル店舗以上の接客体験をあなたのウェブサイトに,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,30日間無料,https://ai-products.net/product/webcstool-ok-sky-chat-cloud/
11,Third AI レコメンドアイ,日本サード・パーティ株式会社,写真を活用した新しい顧客体験チャットボットソリューション,"500,000円〜/月","1,000,000円〜",お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/image-recognition-recommend-ai/
12,A-BiSU,株式会社ユニソンプラネット,"AIによるWebマーケティング及び編集機能を
オールインワンで実現",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/webcstool-a-bisu/
13,ReproWeb,Repro株式会社,WebマーケティングをAIで自動化し、コンバージョン率改善,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/reproweb/
14,BOTCHAN EFO,株式会社wevnal,コンバージョン率を劇的に上げる入力フォームの新常識,月額5万円～,30万円,なし,―,https://ai-products.net/product/chatbot-botchan-efo/
15,アイジェント・レコメンダー,シルバーエッグ・テクノロジー株式会社,AI技術を用いたリアルタイム・レコメンドサービス,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product2/aigentrecommender/
16,ZenClerk,Emotion Intelligence株式会社,人工知能がコンバージョン率を自動で改善するWeb接客ツール,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/zenclerk/
17,Sprocket,株式会社Sprocket,Web接客ツール Sprocket（スプロケット) 株式会社Sprocket,お問い合わせください,"150,000円~",お問い合わせください,お問い合わせください,https://ai-products.net/product2/sprocket/
18,ecコンシェル,株式会社NTTドコモ,高性能AIにより自動でコンバージョン率を改善可能,"9,800円～",お問い合わせ下さい,あり,なし,https://ai-products.net/product/ec-concier/
19,データビジネスプラットフォーム「Rtoaster」,株式会社ブレインパッド,データビジネスプラットフォーム「Rtoaster」,個別見積もり,お問い合わせ下さい,なし,なし,https://ai-products.net/product/rtoaster/
20,Flipdesk（フリップデスク）,株式会社フリップデスク,お客様の状況に合わせて最適な接客を,"5,000円/10万PV","150,000円",なし,なし,https://ai-products.net/product/flipdesk/
21,WazzUp!,株式会社ファナティック,"LINE@でカゴ落ちや再入荷リクエスト配信可。
CVR10％超も！ユーザー毎に商品レコメンド","10,000円～","150,000円～",なし,なし,https://ai-products.net/product/web-customer-service-tool-wazzup/
