,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,Ark 営業業務可視化サービス,PLAY株式会社,Ark 営業業務可視化サービス,"50,000円/月~",なし,なし,あり,https://ai-products.net/product/ark-sales/
1,バトンタッチ,株式会社N2i,"バトンタッチ
AI文字起こしで伝言ゲームを解消する
クラウド型電話システム",4980円〜,0円,なし,なし,https://ai-products.net/product/baton-touch/
2,APOLLO SALES,株式会社Onion,"営業業務を自動化する
セールスオートメーションSaaS「APOLLO SALES」",月額6万円～,10万円,なし,なし,https://ai-products.net/product/apollo-sales/
3,Benefitter,伊藤忠テクノソリューションズ株式会社,"CTCの最適解！働き方を進化させる
DXチャットボットプラットフォーム","個別見積となりますので、
お問い合わせください。","個別見積となりますので、
お問い合わせください。",なし,あり,https://ai-products.net/product/benefitter/
4,新規開拓営業支援ツール『GeAIne（ジーン）』,エッジテクノロジー株式会社,新規開拓営業支援ツール『GeAIne（ジーン）』,4万円～/月,15万円,なし,あり,https://ai-products.net/product/geaine/
5,KASHIKA TALK,株式会社アレグロマジック,"愛とAIがある会話教育を。
「KASHIKA TALK」",解析チケットの買取数に応じて変動,150万〜300万程度,なし,相談,https://ai-products.net/product/kashika-talk/
6,AIME-NLP,AIMENEXT JAPAN 株式会社,"「言葉の価値」を最大化する
自然言語処理「AIME-NLP」エンジン",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/aime-nlp/
7,AmiVoice Communication Suite,株式会社アドバンスト・メディア,"導入実績No.1のボイスコミュニケーション向け
AI音声認識ソリューション",月額12万円～,お問い合わせ下さい,なし,なし,https://ai-products.net/product2/amivoice/
8,HubSpot Sales Hub,HubSpot Japan株式会社,"高度な自動化で営業活動を支援する、
オールインワンのセールス支援ツール","6,000円/月～",0円,あり,あり,https://ai-products.net/product/insidesales-hubspot-sales-hub/
9,PerfectCam,サイバーリンク株式会社,いつでもどこでもフォーマルな見た目で参加 AIの技術を使ったビデオ会議アプリ,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product2/perfectcam/
10,Asales,ストックマーク株式会社,勝ち筋を掴む。もっと売れる。,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/inside-sales-asales/
11,Anews,ストックマーク株式会社,インサイトを共有。チームが動き出す。,お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/recommend-anews/
12,対話型AI「ハル」＠画像認識,クリスタルメソッド株式会社,業務の自動化をHALさんがサポートします,30万円,90万円,-,-,https://ai-products.net/product/image-recognition-ai-haru/
13,Sakura TALK,株式会社アースリンク,リード獲得のための会話AI,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/inside-sales-sakura-talk/
14,Sales Cloud Einstein,株式会社セールスフォース・ドットコム,世界No.1のCRMが、世界で最もインテリジェントなCRMに,"月額 6,000円/1ユーザー",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/sales-cloud-einstein/
15,BowNow（バウナウ）,Mtame株式会社,無料で使えるマーケティングオートメーション,2万円～,0円,あり,なし,https://ai-products.net/product/bownow/
16,Markefan（マーケファン）,Markefan株式会社,AI標準装備の新世代マーケティングオートメーションツール,60万円～（年額）,10万円,あり,あり,https://ai-products.net/product/markefan/
17,法人リスト自動検索システム,株式会社EC研究所,"AIが会社概要ページを自動解析、
法人リストを自動生成する営業支援ツール",10万円（月額）,5万円,なし,あり,https://ai-products.net/product/corporationlist/
