,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,PriceRobo,株式会社エーエヌラボ,PriceRobo,お問い合わせください,お問い合わせください,お問い合わせください,あり,https://ai-products.net/product/pricerobo/
1,Forecasting Experience,株式会社Idrasys,"企業の実績やノウハウをデータ化、
未来の予測に活用する【AI予測プラットフォーム】",10万円／月額～,なし,なし,あり,https://ai-products.net/product/forecasting-experience/
2,Verify,エスコ・ジャパン株式会社,Verify　疾病予測システム,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/verify/
3,AMATERAS RAY,株式会社 aiforce solutions,AMATERAS RAYの特長や機能・料金プランをご紹介,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product2/amateras-ray/
4,Aimelytics,株式会社アイメソフト・ジャパン,"マルチモーダルAI搭載
予測・分析プラットフォーム - Aimelytics",お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/aimelytics/
5,HR君アナリティクス,株式会社エクサウィザーズ,AIのチカラをあらゆる社員にとってのあたりまえに,お問い合わせ下さい,0円,なし,お問い合わせ下さい,https://ai-products.net/product/hr-analytics/
6,サプライチェーンの計画業務最適化サービス,株式会社グリッド,"サプライチェーンの計画業務最適化サービス
| 配送・配船 | 原材料・部品調達 | 生産 |",お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/optimization/
7,AIME–PRecom,AIMENEXT JAPAN 株式会社,"予測・レコメンドプラットフォーム
カスタマイズ開発で未来のシミュレーション",お問合せください,お問合せください,なし,なし,https://ai-products.net/product/aime-precom/
8,オーダーメイドAI開発「カスタムAI」,株式会社 Laboro.AI,オーダーメイドAI開発「カスタムAI」,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/custom-ai/
9,MatrixFlow,株式会社MatrixFlow,ドラッグ＆ドロップであなたがデータサイエンティストに。,0円～,お問い合わせ下さい,あり,あり,https://ai-products.net/product/matrixflow/
10,アドバンスドアナリティクス,ＦＰＴジャパンホールディングス株式会社,"お客様独自の高度な分析ソリューションを構築するための
総合サービス",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/integration-advanced-analytics/
11,throough,株式会社ダイナミックプライシングテクノロジー,需給バランスに応じた価格設定をシステムで管理,"月額 50,000円～","100,000円～",なし,あり,https://ai-products.net/product/demand-prediction-throough/
12,Einstein Analytics,株式会社セールスフォース・ドットコム,"AIを搭載した分析プラットフォームで
データを自動で分析、予測",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,あり,https://ai-products.net/product/einstein-analytics/
13,xenoBrain,株式会社xenodata lab.,ニュースから市場変化を予測するSaaS型AIサービス,月額4.8万円～,月額料金1か月分,なし,お問い合わせ下さい,https://ai-products.net/product/xenobrain/
14,アクティブコア マーケティングクラウド,株式会社アクティブコア,"AI搭載オールインワン
デジタルマーケティングプラットフォーム",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/activecore/
15,SENSY MD,SENSY株式会社,数万アイテム一つひとつの売上を顧客単位で需要の予測が可能,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/sensy-md/
