,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,nununi,awoo Japan 株式会社,nununi,要相談,要相談,なし,なし,https://ai-products.net/product/nununi/
1,AURA-アウラ,Micoworks株式会社,"【継続利用率：98.8%】
LINEで本格的なマーケティングを行うなら、
LINEツールAURA-アウラ","20,000円/月〜",お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/aura/
2,Benefitter,伊藤忠テクノソリューションズ株式会社,"CTCの最適解！働き方を進化させる
DXチャットボットプラットフォーム","個別見積となりますので、
お問い合わせください。","個別見積となりますので、
お問い合わせください。",なし,あり,https://ai-products.net/product/benefitter/
3,MAJIN,株式会社ジーニー,運用しやすいマーケティングオートメーション「MAJIN」,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,あり,https://ai-products.net/product/majin/
4,HubSpot Marketing Hub,HubSpot Japan株式会社,"インバウンドマーケティングに必要な
全機能を搭載したソフトウェア","6,000円/月～",0円,あり,あり,https://ai-products.net/product/marketing-automation-hubspot-marketing-hub/
5,A-BiSU,株式会社ユニソンプラネット,"AIによるWebマーケティング及び編集機能を
オールインワンで実現",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/webcstool-a-bisu/
6,ReproWeb,Repro株式会社,WebマーケティングをAIで自動化し、コンバージョン率改善,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/reproweb/
7,Pardot Einstein,株式会社セールスフォース・ドットコム,AIも搭載されたB2Bマーケティングオートメーションツール,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/pardot-einstein/
8,Marketing Cloud Einstein,株式会社セールスフォース・ドットコム,予測にもとづいたマーケティングジャーニーを作成,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/marketing-cloud-einstein/
9,BowNow（バウナウ）,Mtame株式会社,無料で使えるマーケティングオートメーション,2万円～,0円,あり,なし,https://ai-products.net/product/bownow/
10,アクティブコア マーケティングクラウド,株式会社アクティブコア,"AI搭載オールインワン
デジタルマーケティングプラットフォーム",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/activecore/
11,Markefan（マーケファン）,Markefan株式会社,AI標準装備の新世代マーケティングオートメーションツール,60万円～（年額）,10万円,あり,あり,https://ai-products.net/product/markefan/
12,データビジネスプラットフォーム「Rtoaster」,株式会社ブレインパッド,データビジネスプラットフォーム「Rtoaster」,個別見積もり,お問い合わせ下さい,なし,なし,https://ai-products.net/product/rtoaster/
