,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,amie Helpbot,ペネトレイト・オブ・リミット株式会社,"シナリオ作成は一切不要！
既にあるドキュメントやＦＡＱを自動で学習！
最短1日で導入可能なお手軽チャットボット。",お問い合わせください,お問い合わせください,なし,あり,https://ai-products.net/product/amie-helpbot/
1,PincyPark,株式会社LIGHTz,"ファイルサーバ内に蓄められた膨大な文書ファイルから
目的の文書を一発で見つけ出す、
新しい文書検索ツール『PincyPark』","ライセンス料　720,000/年
（月額６万円）
＊当初1ヶ月目分はソフトウェア価格に含まれます。ご購入月の翌月よりご請求の対象となります。",ソフトウエア価格　３００万円,なし,あり,https://ai-products.net/product/pincypark/
2,goo Search Solution,NTTレゾナント株式会社,"「見つからない」は無いのと同じ
CVR400%アップの実力
AIで売上をアップするECサイト内検索",月額制（個別お見積り）,個別お見積り,なし,なし,https://ai-products.net/product/goo-search-solution/
3,類似画像検索ソリューション,株式会社 Laboro.AI,"画像の内容から探し出す
「類似画像検索ソリューション」",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/image-search/
4,AIME-Search,AIMENEXT JAPAN 株式会社,誰でも素早く・簡単に検索できるAIME-Search,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/aime-search/
5,Amplified,株式会社amplified ai,"プロレベルの特許調査を瞬時に終わらせる
AI特許調査プラットフォーム Amplified",月額 2万円〜,0,あり,あり,https://ai-products.net/product/amplified/
6,QuickSolution,住友電工情報システム株式会社,AIで「探し方」改革！全文検索・情報活用システム,初期費用の20%,"1,500,000円～",なし,あり,https://ai-products.net/product/quicksolution/
7,FirstSearch,株式会社バイタリフィ,"FirstSearchの検索システムがAI・人工知能の検索で
「探し方」を変える！",月額10万円～,50万円～,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/search-system-firstsearch/
8,Click Navi,住友電工情報システム株式会社,AIで「探し方」改革！ クリックだけで情報探し！,初期費用の20%,"2,500,000円～",なし,あり,https://ai-products.net/product/search-system-click-navi/
9,AIカタログ,株式会社エイブリッジ,カタログ・マニュアルの内容を 人工知能で覚える,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/chatbot-ai-catalog/
10,CAIWA Service CoReDA,株式会社イクシーズラボ,"AIプラットフォームCAIWAを基盤とした
AIチャット検索システム",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/chatbot-caiwa-service-coreda/
11,OpAI,株式会社インテリジェントウェイブ,貴方が探しているファイルを１回の検索で探し出します！,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/opai/
12,法人リスト自動検索システム,株式会社EC研究所,"AIが会社概要ページを自動解析、
法人リストを自動生成する営業支援ツール",10万円（月額）,5万円,なし,あり,https://ai-products.net/product/corporationlist/
13,Kleioナレッジサーチ,システムズ・デザイン株式会社,学習データ作成も支援。安心の知識検索サービス！,35万円～,80万円～,なし,―,https://ai-products.net/product/chatbot-kleioknowledgesearch/
