,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,WinActor,エヌ・ティ・ティ・コミュニケーションズ株式会社,WinActor,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/winactor-for-salesforce/
1,AI×RPAソリューション,株式会社アンタス,"AI×RPAソリューション
建築・土木業界の反復作業を自動化します。",お問合せください,お問合せください,ー,ー,https://ai-products.net/product/aixrpa/
2,新規開拓営業支援ツール『GeAIne（ジーン）』,エッジテクノロジー株式会社,新規開拓営業支援ツール『GeAIne（ジーン）』,4万円～/月,15万円,なし,あり,https://ai-products.net/product/geaine/
3,ベステンダンク,合同会社ベステンダンク,"あらゆるルーチン作業を自動化。
コストを減らしてリソースにゆとりを。",2万円〜,お問い合わせください,なし,お問い合わせください,https://ai-products.net/product/bestendank/
4,RPA-OCR業務自動化サービス,株式会社システムエグゼ,RPA-OCR業務自動化サービス,"OCR：月額 98,000円～
RPA：お問い合わせください","OCR：0円（※設定構築作業は別途）
RPA：初年度標準価格900,000円～（※設定構築作業は別途）",なし,"OCR：なし（2か月トライアル：月額 88,000円～）
RPA：あり（1か月トライアル）",https://ai-products.net/product/rpa-ocr-service/
5,ミラロボ マネージャー,株式会社タイタンコミュニケーションズ,業務とRPAの可視化,"月額10,000 円(税別)","10,000円（税別）",お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/mirarobo-m/
6,ミラロボ,株式会社タイタンコミュニケーションズ,誰でも簡単にできるRPA,月額５万円 ／ 2ロボット,10万円（税別）,お問い合わせ下さい,あり,https://ai-products.net/product/mirarobo/
7,完全無料の次世代RPA「マクロマン」,コク―株式会社,定型業務を自動化する次世代RPA,0円,0円,あり,－,https://ai-products.net/product2/rpa-macroman/
8,AIMC RPA導入・開発支援サービス　SynchRoid,エイアイエムコンサルティング株式会社,AIMC RPA導入・開発支援サービス,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/rpa-synchroid/
9,RPAラーニング,株式会社MAIA,働き方改革の切り札と注目を集める「RPA」を効率的に習得,"40,000円/月",0円,なし,なし,https://ai-products.net/product/rpa-learning/
10,ATgo自動テストRPA,六元素情報システム株式会社,システム開発テスト自動化RPA, 99万円/年,0円,あり,あり,https://ai-products.net/product/rpa-tool-atgo-automation-test/
11,Verint RPA,エス・アンド・アイ株式会社,画像認識と文字認識を組み合わせた独自の技術,お問い合わせ下さい,お問い合わせ下さい,-,お問い合わせ下さい,https://ai-products.net/product/verint-rpa/
12,RPA定型業務ロボット自動化ソリューション　UiPath/Automate,NDIソリューションズ株式会社,"安価、簡単に、幅広い業務を自動化する
RPAソリューションを提供します",お問い合わせ下さい,お問い合わせ下さい,なし,お問い合わせ下さい,https://ai-products.net/product/rpa-solution-uipath-automate/
13,RPA管理ソリューション「BPA1」,NDIソリューションズ株式会社,"野良ロボット解決します。
業務フロー可視化・分析からロボット稼働監視まで","月額 30,000円～",お問い合わせ下さい,なし,なし,https://ai-products.net/product/rpa-business-process-automation-1/
14,紙帳票業務自動化ソリューション「BPA2」,NDIソリューションズ株式会社,"紙帳票業務AIにお任せしませんか？
帳票仕分けからOCR・RPAまでワンストップソリューション","月額 35,000円～","300,000円～",なし,なし,https://ai-products.net/product/rpa-business-process-automation-2/
15,WinActor,日本ワムネット株式会社,"国内シェアNo.1 RPAソリューション「WinActor」
販売・導入支援サービス",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/rpa-winactor/
16,RPAチャットボット,モビルス株式会社,"チャット、AI、RPA連携で実現。問い合わせ受付から
内容の登録・回答までをワンストップで完全自動化",-,-,-,-,https://ai-products.net/product/rpa-chatbot/
17,FPT RPAソリューション,ＦＰＴジャパンホールディングス株式会社,業界で有数のRPA分野における技術と専門知識が集結,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/fpt-rpa-solution/
18,akaBot,ＦＰＴジャパンホールディングス株式会社,お客様のビジネスの価値を高める包括的なRPAソリューション,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/rpa-akabot/
19,BizteX cobit,BizteX株式会社,"国内初のクラウドRPA、
クラウド上でロボットが24時間365日稼働",10万円～（月額）,お問い合わせ下さい,なし,あり,https://ai-products.net/product/biztex-cobit/
20,Autoジョブ名人,ユーザックシステム株式会社,安定稼働で選ぶ、国産RPAソリューション,"開発版1年ライセンス　60万円
実行版1年ライセンス　18万円",なし,-,お問合せください,https://ai-products.net/product/rpa-autojob/
21,RPA Robo-Pat（ロボパット）,スターティアレイズ株式会社,中小企業の業務効率化・自動化を支援するRPA Robo-Pat,12万円～,0円,なし,あり,https://ai-products.net/product/rpa-robo-pat/
22,JobAuto,株式会社シジャム・ビーティービー,ご納得いただける価値を提供するRPAツール,"月額 80,000円～",0円,なし,あり,https://ai-products.net/product/rpa-jobauto/
