,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,Forecasting Experience,株式会社Idrasys,"企業の実績やノウハウをデータ化、
未来の予測に活用する【AI予測プラットフォーム】",10万円／月額～,なし,なし,あり,https://ai-products.net/product/forecasting-experience/
1,harBest,株式会社APTO,"面倒なAI学習データの作成は
「harBestでカンタン発注」して待つだけでOK",お問い合わせください,なし,なし,あり,https://ai-products.net/product/harbest/
2,Orizuru　～スマートファクトリーソリューション～,株式会社コアコンセプト・テクノロジー,"Orizuru
～スマートファクトリーソリューション～",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/orizuru/
3,AMATERAS RAY,株式会社 aiforce solutions,AMATERAS RAYの特長や機能・料金プランをご紹介,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product2/amateras-ray/
4,テキスト解析モデル構築サービス,株式会社エーアイスクエア,"要約・分類・重要文抽出等各種AIエンジンを組み合わせて、
目的に応じた機械学習モデルを提供",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/textservice/
5,Aimesoft/Multimodal AI,株式会社アイメソフト・ジャパン,アイメソフト - マルチモーダルAI,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/aimesoft-multimodal-ai/
6,データ解析・画像解析AIを活用した医療業界向けソリューション,ネクスジェン株式会社,"データ解析・画像解析AIを活用した
医療業界向けソリューションの提供",お問い合わせください,お問い合わせください,あり,あり,https://ai-products.net/product/nextgem/
7,音声・画像・感情認識・自然言語データ活用支援,Laniakea株式会社,音声・画像・感情認識・自然言語データ活用支援,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/data-use/
8,Vareal Face Recognition,Vareal株式会社,"顔認識率99%以上のAIエンジン
「Vareal Face Recognition」",お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/vareal-face/
9,HR君アナリティクス,株式会社エクサウィザーズ,AIのチカラをあらゆる社員にとってのあたりまえに,お問い合わせ下さい,0円,なし,お問い合わせ下さい,https://ai-products.net/product/hr-analytics/
10,サプライチェーンの計画業務最適化サービス,株式会社グリッド,"サプライチェーンの計画業務最適化サービス
| 配送・配船 | 原材料・部品調達 | 生産 |",お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/optimization/
11,AIME-Solution,AIMENEXT JAPAN 株式会社,AIMENEXTと一緒に、AIでビジネスに「新価値」を今すぐ,お問合せください,お問合せください,なし,なし,https://ai-products.net/product/aime-solution/
12,オーダーメイドAI開発「カスタムAI」,株式会社 Laboro.AI,オーダーメイドAI開発「カスタムAI」,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/custom-ai/
13,AIによる販促施策最適化ソリューション「AI×DM」,福博印刷株式会社,最適なDM送付対象客をAIが判定！,お問合せ下さい,お問合せ下さい,なし,あり,https://ai-products.net/product/models-solution-ai-dm/
14,αi Start Pack,テクノ・マインド株式会社,AI画像認識を簡単に利用開始できるパック,お問い合わせ下さい,なし,なし,お問い合わせ下さい,https://ai-products.net/product/image-recognition-ai-start-pack/
15,MatrixFlow,株式会社MatrixFlow,ドラッグ＆ドロップであなたがデータサイエンティストに。,0円～,お問い合わせ下さい,あり,あり,https://ai-products.net/product/matrixflow/
16,Mobile AI Lab,"VITALIFY Asia Co.,Ltd.","AIを活用したサービスを開発したい！
業務を効率化し改善したい！",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/ai-models-mobile-ai-lab/
17,人工知能研究開発支援,株式会社クラスキャット,人工知能研究開発支援,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/integration-ai_dev_services/
