,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,デジタルヒューマン,デジタルヒューマン株式会社,"人間らしさとAIのメリットを融合。
新しい顧客体験を提供する
「対話+感情表現 AIインターフェース」","135,000円/月〜",0円,なし,あり,https://ai-products.net/product/digital-human/
1,チャットプラス,チャットプラス株式会社,"初期費用0円 月額1,500円〜低価格で利用可能な
チャットボット",1500円～,0円,なし,あり,https://ai-products.net/product2/chatplus/
2,ZUKKU,エス・アンド・アイ株式会社,"わずか10cm！手のひらサイズの
マーケティング支援AIロボット",2万円/台,136.5万円〜,なし,なし,https://ai-products.net/product/image-recognition-marketing-zukku/
3,FirstSearch,株式会社バイタリフィ,"FirstSearchの検索システムがAI・人工知能の検索で
「探し方」を変える！",月額10万円～,50万円～,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/search-system-firstsearch/
4,たよれーるAIチャットボットサービス,株式会社大塚商会,"IBM Watsonの自然言語処理機能を利用した
大塚商会オリジナルのシステムです","70,000円/月","400,000円",なし,3ヶ月無料（初期費用別途要）,https://ai-products.net/product2/tayoreru/
5,FirstContact,株式会社バイタリフィ,高機能、ハイコストパフォーマンスなAIチャットボット,"月額2,980円～",0円,なし,あり,https://ai-products.net/product/chatbot-firstcontact/
6,Third AI コンタクトセンターソリューション,日本サード・パーティ株式会社,チャットボットThirdAIは最適なAIを最適なコストで提供するAIソリューション,20万円～,100万円〜,なし,なし,https://ai-products.net/product2/third-ai/
7,AIチャットボット「 HiTTO 」,HiTTO株式会社,"大企業様の問い合わせ対応業務をサポート！
かんたんAIで定型業務をまるっと自動化",お問い合わせください,なし,なし,あり,https://ai-products.net/product2/chatbot-hitto/
8,CAIWA Service CoReDA,株式会社イクシーズラボ,"AIプラットフォームCAIWAを基盤とした
AIチャット検索システム",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/chatbot-caiwa-service-coreda/
9,AI Log,エス・アンド・アイ株式会社,"Watsonの活用でコンタクトセンターの
応対品質管理を効率化！",50万円,60万円,なし,なし,https://ai-products.net/product/ai-log/
10,Knowledge Discovery　（ナレッジ・ディスカバリー）,エス・アンド・アイ株式会社,Watson活用、お問い合わせ内容をリアルタイムにテキスト化,40万円/月～,30万円,―,お問い合わせ下さい,https://ai-products.net/product/knowledge-discovery/
