,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,WisTalk（ウィズトーク）,パナソニック ソリューションテクノロジー株式会社,"問い合わせ対応業務の負荷を約50％軽減！
「Microsoft Teams」や「LINE」でも利用可能！
平均正答率75％、導入は最短3週間、継続利用率95％",月額10万円～,0円,なし,あり,https://ai-products.net/product/wistalk/
1,HUE Works Suite DX Solutions Chatbot,株式会社ワークスアプリケーションズ,"AI研究の専門機関”徳島人工知能NLP研究所”が開発！
日本最大規模の辞書を搭載したAIチャットボット",月額10万円～,30万円～,なし,あり,https://ai-products.net/product/hue/
2,amie Helpbot,ペネトレイト・オブ・リミット株式会社,"シナリオ作成は一切不要！
既にあるドキュメントやＦＡＱを自動で学習！
最短1日で導入可能なお手軽チャットボット。",お問い合わせください,お問い合わせください,なし,あり,https://ai-products.net/product/amie-helpbot/
3,AURA-アウラ,Micoworks株式会社,"【継続利用率：98.8%】
LINEで本格的なマーケティングを行うなら、
LINEツールAURA-アウラ","20,000円/月〜",お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/aura/
4,Vareal NLP（自然言語処理）システム構築/導入サービス,Vareal株式会社,Vareal NLP（自然言語処理）システム構築/導入サービス,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/vareal-nlp/
5,AIチャット SCHATTI,株式会社ZeQ,"対応効率35％UP↑ 返答時間20％DOWN↓
学習機能を備えたAI回答補助&チャットボットが
スマートで心地よい顧客体験を創出します",お問い合せください,お問い合せください,なし,あり,https://ai-products.net/product/schatti/
6,Benefitter,伊藤忠テクノソリューションズ株式会社,"CTCの最適解！働き方を進化させる
DXチャットボットプラットフォーム","個別見積となりますので、
お問い合わせください。","個別見積となりますので、
お問い合わせください。",なし,あり,https://ai-products.net/product/benefitter/
7,デジタルヒューマン,デジタルヒューマン株式会社,"人間らしさとAIのメリットを融合。
新しい顧客体験を提供する
「対話+感情表現 AIインターフェース」","135,000円/月〜",0円,なし,あり,https://ai-products.net/product/digital-human/
8,hachidori,hachidori株式会社,hachidori,"月額50,000円～","100,000円～",なし,なし,https://ai-products.net/product/hachidori/
9,kantan chat,マスターピース・グループ株式会社,"最短3ヶ月からの英語チャットサポートサービス
「kantan chat 」","98,000円","100,000円",なし,なし,https://ai-products.net/product/kantan-chat/
10,goo AI x DESIGN(エーアイクロスデザイン),NTTレゾナント株式会社,"業務効率化、
セールスアシスタントからキャラクター対話まで！
あらゆるビジネス課題にフィットする
貴社だけのAIチャットボット",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/goo-ai-x/
11,qualva,株式会社 PROFESSY,コンバージョンチャットボットqualva（クオルバ）,月額1万円〜,5万円〜,なし,なし,https://ai-products.net/product/qualva/
12,チャットプラス,チャットプラス株式会社,"初期費用0円 月額1,500円〜低価格で利用可能な
チャットボット",1500円～,0円,なし,あり,https://ai-products.net/product2/chatplus/
13,チャットシステムChamo,株式会社ジーニー,「心が通う、温かいコミュニケーションを。」,"6,980円/月",0円,なし,15日間,https://ai-products.net/product/chatbot-chamo/
14,Virtual Agent-バーチャルエージェント-,りらいあデジタル株式会社,コンタクトセンターのノウハウを活かした AIチャットボット「バーチャルエージェント®」,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product2/virtual-agent/
15,minarai CS chat,株式会社Nextremer,"シンプルなUIで直感的な操作が可能なAIチャットボット
最も重要なシナリオの運用をAIトレーナーが手厚くサポート","50,000円/月〜",なし,あり,あり,https://ai-products.net/product2/minarai-cs-chat/
16,ENOKI5.0 Essential(Cloud版),アイフォーカス・ネットワーク株式会社,ヘルプデスク型　ENOKI5.0 Essential,月額5万円,10万円,なし,あり,https://ai-products.net/product/enoki-cloud/
17,AI Messenger Chatbot,株式会社AI Shift,"カスタマーサポート向け
最高品質のAIチャットボット",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product2/ai-messenger/
18,QuickSolutionチャットボット,住友電工情報システム株式会社,QuickSolutionチャットボット,初期費用の20%,"3,500,000円～",なし,あり,https://ai-products.net/product/qs-chatbot/
19,AIMC AIチャットボット導入支援,エイアイエムコンサルティング株式会社,ノーコードで高機能な対話AIを 直感的に操作できるチャットボット,"100,000円～",お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product2/kuzen/
20,OK SKY Chat Bot,株式会社空色,リアル店舗以上の接客体験をあなたのウェブサイトに,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/ok-sky-chat-bot/
21,汎用AIチャットボットCB3,NDIソリューションズ株式会社,"汎用AIチャットボット　社内・社外からのお問い合わせは
私たちに任せてください",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/chatbot-ai-cb3/
22,AI-FAQ ボット,株式会社L is B,社内でも社外でも、始めやすく使いやすい ユーザーの思考に合わせ進化する「AI-FAQ ボット」,"30,000円/月～",お問い合わせください,お問い合わせください,30日間無料,https://ai-products.net/product2/ai-faq-bot/
23,direct,株式会社L is B,「direct」+ 「チャットボット」でビジネスはさらに進化する,0円,0円,あり（10名まで）,なし,https://ai-products.net/product/chatbot-direct/
24,たよれーるAIチャットボットサービス,株式会社大塚商会,"IBM Watsonの自然言語処理機能を利用した
大塚商会オリジナルのシステムです","70,000円/月","400,000円",なし,3ヶ月無料（初期費用別途要）,https://ai-products.net/product2/tayoreru/
25,Concierge U,株式会社コンシェルジュ,プログラミング不要の高機能AIチャットボット,10万円～,5万円～,―,―,https://ai-products.net/product/concierge-u/
26,FirstContact,株式会社バイタリフィ,高機能、ハイコストパフォーマンスなAIチャットボット,"月額2,980円～",0円,なし,あり,https://ai-products.net/product/chatbot-firstcontact/
27,Third AI コンタクトセンターソリューション,日本サード・パーティ株式会社,チャットボットThirdAIは最適なAIを最適なコストで提供するAIソリューション,20万円～,100万円〜,なし,なし,https://ai-products.net/product2/third-ai/
28,対話型AI「ハル」＠チャットボット,クリスタルメソッド株式会社,業務の自動化をHALさんがサポートします！,30万円,90万円,-,-,https://ai-products.net/product/chatbot-ai-haru/
29,AIチャットボット「 HiTTO 」,HiTTO株式会社,"大企業様の問い合わせ対応業務をサポート！
かんたんAIで定型業務をまるっと自動化",お問い合わせください,なし,なし,あり,https://ai-products.net/product2/chatbot-hitto/
30,QuickQA,株式会社エーアイスクエア,社内業務のチャット・WebサイトのUIに対応する、 AIベースのQAソリューション「QuickQA」,30万円～（月額）,"1,000,000円",お問い合わせください,お問い合わせください,https://ai-products.net/product2/quickqa/
31,Einstein for Service,株式会社セールスフォース・ドットコム,カスタマーサポート業務の効率化とオペレータの生産性を向上,"月額　6,000円/1ユーザー",-,なし,なし,https://ai-products.net/product/einstein-for-service/
32,mobiAgent（モビエージェント）,モビルス株式会社,"コンタクトセンターのオペレーションに最適化した、
自動応答対応チャットボットツール","12,000円/1ID","100,000円",なし,あり,https://ai-products.net/product/mobiagent/
33,CAIWA Service Viii,株式会社イクシーズラボ,"AIプラットフォームCAIWAを基盤とした
高性能AIチャットボット",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product2/caiwa-service-viii/
34,ObotAI,株式会社ObotAI,学習するAIを搭載。使うほどかしこく。多言語に対応します,7万円～30万円,0円～,なし,あり,https://ai-products.net/product/chatbot-obotai/
35,オンライン・コンシェルジェ,株式会社R500M,多言語対応・簡単設定のチャットボット,月額5000円～,0円,なし,あり,https://ai-products.net/product/chatbot-online-concierge/
36,My-ope office,株式会社mofmof,社内問い合わせ対応専用のAIチャットボットです,"120,000円","160,000円",なし,―,https://ai-products.net/product/my-ope-office/
37,BOTCHAN,株式会社wevnal,カスタマーサポートを、早く、賢く、正確に,月額1万円～,10万円,あり,―,https://ai-products.net/product/chatbot-botchan/
38,Faceコンシェル,株式会社インテリジェントウェイブ,WEBサイト上で稼働するコンシェルジュサービスです,お問い合わせ下さい,―,―,―,https://ai-products.net/product2/faceconcier/
