,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,InspectAI,株式会社アラヤ,"外観検査パッケージソフト「InspectAI」
導入しやすく、高精度・高速処理を実現！",個別お見積り,ー,なし,なし,https://ai-products.net/product/inspectai/
1,ZIA™️ Plate,株式会社ディジタルメディアプロフェッショナル,"ナンバープレート認識エンジン　ZIA™ Plate
AI技術を活用し、低負荷かつ高精度な
ナンバープレート認識ソフトウエア",お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/zia-plate/
2,ZIA™ Cloud SAFE,株式会社ディジタルメディアプロフェッショナル,SaaS型安全運転支援クラウドサービス「ZIA™ Cloud SAFE」,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/zia-cloud-safe/
3,FPGAベースのエッジAI開発キット「ZIA™ C3 Kit」,株式会社ディジタルメディアプロフェッショナル,FPGAベースのエッジAI開発キット「ZIA™ C3 Kit」,お問い合わせください,"198,000円",なし,なし,https://ai-products.net/product/zia-c3-kit/
4,Roxy AI　～画像検査AI～,ウインズソフト株式会社,"【脱ブラックボックス！！】AIの個性や精度を可視化し、
弱点をピンポイントで補強できる革新的な検査AI","お問い合わせください
精度とタクトの検証、撮像、お客様専用のAIモデル作成、機構連携を提案・支援いたします。","お問い合わせください
初期の検査システムは弊社で作成支援いたします。お客様自身で横展開頂けるよう操作教育＆ノウハウをお伝えいたします。",なし,あり（試行ライセンスの貸出）,https://ai-products.net/product/roxy-ai/
5,Orizuru　～スマートファクトリーソリューション～,株式会社コアコンセプト・テクノロジー,"Orizuru
～スマートファクトリーソリューション～",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/orizuru/
6,セミカスタム/フルカスタム画像認識AI開発サービス,株式会社アラヤ,"セミカスタム/フルカスタム画像認識AI開発サービス
業界やお客様の業務課題に合わせ、
“本当に業務で使えるAI導入”を実現",200万円～（個別お見積り）,－,なし,あり,https://ai-products.net/product/semicustom/
7,データ解析・画像解析AIを活用した医療業界向けソリューション,ネクスジェン株式会社,"データ解析・画像解析AIを活用した
医療業界向けソリューションの提供",お問い合わせください,お問い合わせください,あり,あり,https://ai-products.net/product/nextgem/
8,MAL Animal Detection,"VITALIFY Asia Co.,Ltd.","鳥獣被害対策や生態調査にAIを活用！
写真から動物の種類と数を判別集計できるソフトウェア",お問い合わせください,お問い合わせください,なし,あり,https://ai-products.net/product/mal-animal-detection/
9,PicMatch,株式会社エーエヌラボ,AIを用いた、大規模で高速な類似画像検索ソリューション,"データ処理のみ希望する場合は、目安として写真1枚あたり数円程度とお考え下さい。
エンジン提供を希望する場合は、要相談とさせてください。",要相談（エンジン提供の場合のみ）,なし,あり,https://ai-products.net/product/picmatch/
