,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,COTOHA Meeting Assist,エヌ・ティ・ティ・コミュニケーションズ株式会社,"議事録作成支援サービス
COTOHA Meeting Assist","50,000円（税込55,000円）",0円,お問い合わせください,お問い合わせください,https://ai-products.net/product/cotoha-meeting-assist/
1,AI翻訳プラットフォームサービス「COTOHA Translator」,エヌ・ティ・ティ・コミュニケーションズ株式会社,"AI翻訳プラットフォームサービス
COTOHA® Translator","月額80,000円（税込 88,000円）/ 10ID
※翻訳量に制限はありません",0円,なし,あり,https://ai-products.net/product/cotoha/
2,AmiVoice Cloud Platform,株式会社アドバンスト・メディア,"シェアNo.1の音声認識APIが利用できるサービス
AmiVoice Cloud Platform",0.0275円/秒～（税込）,0円,あり,あり,https://ai-products.net/product/amivoice-cloud-platform/
3,ObotAI Minutes,株式会社ObotAI,"Web会議の音声をAIが多言語翻訳し、
リアルタイムで文字起こし！","月額費用：50,000円","初期費用：50,000円",なし,あり（3日間限定）,https://ai-products.net/product/obotai-minutes/
4,バトンタッチ,株式会社N2i,"バトンタッチ
AI文字起こしで伝言ゲームを解消する
クラウド型電話システム",4980円〜,0円,なし,なし,https://ai-products.net/product/baton-touch/
5,Verint 会話音声分析 (Speech Analytics),ベリントシステムズジャパン株式会社,"世界で採用されているVoC分析
音声コンプライアンスソリューション
音声認識AIで自動分析を提供",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/sanalytics/
6,AI翻訳ツール T-tact AN-ZIN®(ティータクト アンジン),株式会社十印,AI翻訳ツール T-tact AN-ZIN®︎(ティータクト アンジン),"240,000円（年間）～",なし,なし,あり,https://ai-products.net/product/t-tact-an-zin/
7,AimeReception,株式会社アイメソフト・ジャパン,"マルチモーダルAIを活用したバーチャルAI受付
AimeReception",お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/aimereception/
8,音声・画像・感情認識・自然言語データ活用支援,Laniakea株式会社,音声・画像・感情認識・自然言語データ活用支援,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/data-use/
9,音声データ作成サービス,株式会社 翻訳センター,音声データ作成サービス,各サービスともに要望を伺いましてから都度見積りいたします。,なし,なし,なし,https://ai-products.net/product/sound-data/
10,Omnia LINK,ビーウィズ株式会社,Omnia LINK,お問い合わせください,お問い合わせください,ご相談ください,ご相談ください,https://ai-products.net/product/omnia-link/
11,KASHIKA TALK,株式会社アレグロマジック,"愛とAIがある会話教育を。
「KASHIKA TALK」",解析チケットの買取数に応じて変動,150万〜300万程度,なし,相談,https://ai-products.net/product/kashika-talk/
12,対話型AI HAL3 翻訳機能,クリスタルメソッド株式会社,対話型AI HAL3 翻訳機能,-,-,-,-,https://ai-products.net/product/ai-hal-t/
13,AIME-Sound,AIMENEXT JAPAN 株式会社,「声を見える化」「声で効率化」する音声認識システム,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/aime-sound/
14,AmiVoice Communication Suite,株式会社アドバンスト・メディア,"導入実績No.1のボイスコミュニケーション向け
AI音声認識ソリューション",月額12万円～,お問い合わせ下さい,なし,なし,https://ai-products.net/product2/amivoice/
15,WOVN.io,Wovn Technologies 株式会社,多言語化のすべての課題に答える翻訳ソリューション,お問い合わせ下さい,お問い合わせ下さい,無し,無し,https://ai-products.net/product/wovn-io/
16,Voin2 Field,テクノ・マインド株式会社,音声ハイブリッド入力現場支援システム「Voin2 Field」,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/voice-recognition-voin2-field/
17,Empath,株式会社Empath,音声から気分状態を可視化するAI・人工知能エンジン,"月額 10,800円～",0円,API利用回数300回まで,―,https://ai-products.net/product/empath/
18,感情解析API,メタデータ株式会社,文章から感情を手軽に数値として抽出,1件あたり～5円,お問い合わせ下さい,あり,あり,https://ai-products.net/product/api-emotion-analyzer/
19,対話型AI「ハル」＠音声認識,クリスタルメソッド株式会社,業務の自動化をHALさんがサポートします！,30万円,90万円,-,-,https://ai-products.net/product/voice-recognition-ai-haru/
20,AIボイス変換　Voidol -Powered by リアチェンvoice,クリムゾンテクノロジー株式会社,業界初の音声AI変換技術,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/voice-recognition-rcvoice/
21,Sakura TALK,株式会社アースリンク,リード獲得のための会話AI,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/inside-sales-sakura-talk/
22,5W1H抽出API ～個人情報保護に！,メタデータ株式会社,持ち出し文書の匿名化や口コミ内容等の分析に,1件あたり～5円,お問い合わせ下さい,あり,あり,https://ai-products.net/product/5w1h-api/
23,ライブ通訳,株式会社ビジュアルワークス,"業界最安値のＡＩ・映像通訳サービス、
レンタルスマホ＋多言語通訳でインバウンド対応をサポート！",1980円,0円,―,―,https://ai-products.net/product/live-tsuyaku/
24,AI Log,エス・アンド・アイ株式会社,"Watsonの活用でコンタクトセンターの
応対品質管理を効率化！",50万円,60万円,なし,なし,https://ai-products.net/product/ai-log/
25,Knowledge Discovery　（ナレッジ・ディスカバリー）,エス・アンド・アイ株式会社,Watson活用、お問い合わせ内容をリアルタイムにテキスト化,40万円/月～,30万円,―,お問い合わせ下さい,https://ai-products.net/product/knowledge-discovery/
26,AIコンシェルジュ,株式会社 TACT,音声認識を使って、電話業務をAIが自動応答,お問い合わせ下さい,120万円～,―,―,https://ai-products.net/product/ai-concierge/
