,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,nununi,awoo Japan 株式会社,nununi,要相談,要相談,なし,なし,https://ai-products.net/product/nununi/
1,Vareal NLP（自然言語処理）システム構築/導入サービス,Vareal株式会社,Vareal NLP（自然言語処理）システム構築/導入サービス,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/vareal-nlp/
2,AIME–PRecom,AIMENEXT JAPAN 株式会社,"予測・レコメンドプラットフォーム
カスタマイズ開発で未来のシミュレーション",お問合せください,お問合せください,なし,なし,https://ai-products.net/product/aime-precom/
3,デクワス.RECO,サイジニア株式会社,"売れているものを売るだけでなく、まだ見つけられていない
ロングテールの商品もおすすめするレコメンドサービス",20万円/月～,50万円～,なし,なし,https://ai-products.net/product/deqwas-reco/
4,Third AI レコメンドアイ,日本サード・パーティ株式会社,写真を活用した新しい顧客体験チャットボットソリューション,"500,000円〜/月","1,000,000円〜",お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/image-recognition-recommend-ai/
5,SENSY Marketing Brain,SENSY株式会社,感性AIで10万人のお客様に10万通りのシナリオを,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/sensy-mb/
6,対話型AI「ハル」＠レコメンド,クリスタルメソッド株式会社,業務の自動化をHALさんがサポートします！,30万円,90万円,-,-,https://ai-products.net/product/recommend-ai-haru/
7,Einstein Analytics,株式会社セールスフォース・ドットコム,"AIを搭載した分析プラットフォームで
データを自動で分析、予測",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,あり,https://ai-products.net/product/einstein-analytics/
8,アクティブコア マーケティングクラウド,株式会社アクティブコア,"AI搭載オールインワン
デジタルマーケティングプラットフォーム",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/activecore/
9,アイジェント・レコメンダー,シルバーエッグ・テクノロジー株式会社,AI技術を用いたリアルタイム・レコメンドサービス,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product2/aigentrecommender/
10,データビジネスプラットフォーム「Rtoaster」,株式会社ブレインパッド,データビジネスプラットフォーム「Rtoaster」,個別見積もり,お問い合わせ下さい,なし,なし,https://ai-products.net/product/rtoaster/
11,WazzUp!,株式会社ファナティック,"LINE@でカゴ落ちや再入荷リクエスト配信可。
CVR10％超も！ユーザー毎に商品レコメンド","10,000円～","150,000円～",なし,なし,https://ai-products.net/product/web-customer-service-tool-wazzup/
