,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,大学との産学連携プロジェクト,一般社団法人　AI-Lab,"教授や学生の皆さまのAI技術の
研究成果などを発揮できる場所を設け、
AI技術の発展に貢献する大学向けの
ビジネスプランコンテストです。",無料,なし,なし,なし,https://ai-products.net/product/project/
1,法人向けDX人材育成サービス,株式会社エクサウィザーズ,法人向けDX人材育成サービス,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/dx-service/
2,AIジョブカレ,エッジテクノロジー株式会社,AIジョブカレ,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/aijobcolle/
3,iLect by NABLAS,NABLAS株式会社,"AI総合研究所として活動する
東大発ベンチャーNABLASが提供する、
法人向けAI人材育成プログラム",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/ilect/
4,Vareal AI教育・トレーニングサービス,Vareal株式会社,Vareal AI教育・トレーニングサービス,お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/vareal-education/
5,KASHIKA TALK,株式会社アレグロマジック,"愛とAIがある会話教育を。
「KASHIKA TALK」",解析チケットの買取数に応じて変動,150万〜300万程度,なし,相談,https://ai-products.net/product/kashika-talk/
6,AIME-Sound,AIMENEXT JAPAN 株式会社,「声を見える化」「声で効率化」する音声認識システム,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/aime-sound/
7,サプライチェーンの計画業務最適化サービス,株式会社グリッド,"サプライチェーンの計画業務最適化サービス
| 配送・配船 | 原材料・部品調達 | 生産 |",お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/optimization/
8,exaCommunity,株式会社エクサウィザーズ,Accelerate Your Business with AI,15万円/年　（5ID利用可能）,0円,-,-,https://ai-products.net/product/exacommunity/
9,HR君 DIA,株式会社エクサウィザーズ,HR君　デジタルイノベーター　アセスメント,お問合せ下さい,お問合せ下さい,お問合せ下さい,お問合せ下さい,https://ai-products.net/product/hr-dia/
10,AIテクニカルプランナー講座,マインドテック株式会社,AIプロジェクト推進者のためのAIビジネス活用応用講座,20万円／人,なし,なし,なし,https://ai-products.net/product/ai-human-resource-development-ai-tec/
11,AIビジネスプランナー講座,マインドテック株式会社,"タイトルAIプロジェクトに関わる可能性がある人の為の
AIビジネス活用基礎講座",3万円／人,なし,なし,なし,https://ai-products.net/product/ai-human-resource-development-ai-biz/
12,AIエンジニア講座,マインドテック株式会社,エンジニアのためのAIエンジニアリング入門講座,40万円／人,なし,なし,なし,https://ai-products.net/product/ai-human-resource-development-ai-engineer/
13,SIGNATE Quest,株式会社SIGNATE,"豊富なAI開発実績と年間1万人を超えるAI研修から生まれた
独自メソッド",お問い合わせ下さい,0円,なし,あり,https://ai-products.net/product/ai-human-resource-development-signate-quest/
14,AIラーニング（エントリーコース）,株式会社MAIA,初心者でも専門的なAIスキルの知見を深めることができる,"3,000円（1ヶ月間 視聴可能）",0円,なし,なし,https://ai-products.net/product/human-resource-developmen-ai-learning-entry-course/
15,RPAラーニング,株式会社MAIA,働き方改革の切り札と注目を集める「RPA」を効率的に習得,"40,000円/月",0円,なし,なし,https://ai-products.net/product/rpa-learning/
16,Anews,ストックマーク株式会社,インサイトを共有。チームが動き出す。,お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/recommend-anews/
17,人工知能研究開発支援,株式会社クラスキャット,人工知能研究開発支援,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/integration-ai_dev_services/
18,AI_STANDARD,株式会社STANDARD,AIプロジェクトに必要な人材を育成しませんか？,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/human-resource-ai_standard/
19,AI Academy,サイバーブレイン株式会社,AIを作りながらAIプログラミングを学ぼう,0円～,0円,あり,あり,https://ai-products.net/product/human-resource-ai-academy/
