,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,WinActor,エヌ・ティ・ティ・コミュニケーションズ株式会社,WinActor,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/winactor-for-salesforce/
1,amie Helpbot,ペネトレイト・オブ・リミット株式会社,"シナリオ作成は一切不要！
既にあるドキュメントやＦＡＱを自動で学習！
最短1日で導入可能なお手軽チャットボット。",お問い合わせください,お問い合わせください,なし,あり,https://ai-products.net/product/amie-helpbot/
2,ZIA™ Cloud SAFE,株式会社ディジタルメディアプロフェッショナル,SaaS型安全運転支援クラウドサービス「ZIA™ Cloud SAFE」,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/zia-cloud-safe/
3,AIチャット SCHATTI,株式会社ZeQ,"対応効率35％UP↑ 返答時間20％DOWN↓
学習機能を備えたAI回答補助&チャットボットが
スマートで心地よい顧客体験を創出します",お問い合せください,お問い合せください,なし,あり,https://ai-products.net/product/schatti/
4,Verint 会話音声分析 (Speech Analytics),ベリントシステムズジャパン株式会社,"世界で採用されているVoC分析
音声コンプライアンスソリューション
音声認識AIで自動分析を提供",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/sanalytics/
5,デジタルヒューマン,デジタルヒューマン株式会社,"人間らしさとAIのメリットを融合。
新しい顧客体験を提供する
「対話+感情表現 AIインターフェース」","135,000円/月〜",0円,なし,あり,https://ai-products.net/product/digital-human/
6,新規開拓営業支援ツール『GeAIne（ジーン）』,エッジテクノロジー株式会社,新規開拓営業支援ツール『GeAIne（ジーン）』,4万円～/月,15万円,なし,あり,https://ai-products.net/product/geaine/
7,Arkプロセスマイニング,PLAY株式会社,Arkプロセスマイニング,"50,000円/月~",なし,なし,あり,https://ai-products.net/product/ark-process/
8,ベステンダンク,合同会社ベステンダンク,"あらゆるルーチン作業を自動化。
コストを減らしてリソースにゆとりを。",2万円〜,お問い合わせください,なし,お問い合わせください,https://ai-products.net/product/bestendank/
9,サプライチェーンの計画業務最適化サービス,株式会社グリッド,"サプライチェーンの計画業務最適化サービス
| 配送・配船 | 原材料・部品調達 | 生産 |",お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/optimization/
10,完全無料の次世代RPA「マクロマン」,コク―株式会社,定型業務を自動化する次世代RPA,0円,0円,あり,－,https://ai-products.net/product2/rpa-macroman/
11,Astrategy,ストックマーク株式会社,敵を知る。先手を打てる。,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/business-automation-support-astrategy/
12,アイトラッキング（視線計測）,トビー・テクノロジー株式会社,目は口程に物を言う,お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/automation-support-eyetracking/
13,akaBot,ＦＰＴジャパンホールディングス株式会社,お客様のビジネスの価値を高める包括的なRPAソリューション,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/rpa-akabot/
14,Sakura TALK,株式会社アースリンク,リード獲得のための会話AI,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/inside-sales-sakura-talk/
15,Autoジョブ名人,ユーザックシステム株式会社,安定稼働で選ぶ、国産RPAソリューション,"開発版1年ライセンス　60万円
実行版1年ライセンス　18万円",なし,-,お問合せください,https://ai-products.net/product/rpa-autojob/
16,akaminds,ＦＰＴジャパンホールディングス株式会社,"デジタルトランスフォーメーションによる
ビジネスの拡大を支援する",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/akaminds/
17,xTech,メタデータ株式会社,超高速多対多マッチングエンジン,お問い合わせ下さい,お問い合わせ下さい,なし,お問い合わせ下さい,https://ai-products.net/product/matching-xtech/
18,xenoBrain,株式会社xenodata lab.,ニュースから市場変化を予測するSaaS型AIサービス,月額4.8万円～,月額料金1か月分,なし,お問い合わせ下さい,https://ai-products.net/product/xenobrain/
19,OpAI,株式会社インテリジェントウェイブ,貴方が探しているファイルを１回の検索で探し出します！,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/opai/
20,FEEDER,株式会社エムティーアイ,"AI＋OCRで撮影した領収書を
「Concur Expense」と自動連携",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/feeder/
21,Knowledge Discovery　（ナレッジ・ディスカバリー）,エス・アンド・アイ株式会社,Watson活用、お問い合わせ内容をリアルタイムにテキスト化,40万円/月～,30万円,―,お問い合わせ下さい,https://ai-products.net/product/knowledge-discovery/
22,TM-RoBo,株式会社 IP-RoBo,商標専門家と同等の称呼類否判断を行う機械学習ＡＩ,5000円～（月額）,0円,なし,あり,https://ai-products.net/product/tm-robo/
