,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,Orizuru　～スマートファクトリーソリューション～,株式会社コアコンセプト・テクノロジー,"Orizuru
～スマートファクトリーソリューション～",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/orizuru/
1,Aimesoft/Multimodal AI,株式会社アイメソフト・ジャパン,アイメソフト - マルチモーダルAI,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/aimesoft-multimodal-ai/
2,音声・画像・感情認識・自然言語データ活用支援,Laniakea株式会社,音声・画像・感情認識・自然言語データ活用支援,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/data-use/
3,AI×RPAソリューション,株式会社アンタス,"AI×RPAソリューション
建築・土木業界の反復作業を自動化します。",お問合せください,お問合せください,ー,ー,https://ai-products.net/product/aixrpa/
4,サプライチェーンの計画業務最適化サービス,株式会社グリッド,"サプライチェーンの計画業務最適化サービス
| 配送・配船 | 原材料・部品調達 | 生産 |",お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/optimization/
5,AIME-Solution,AIMENEXT JAPAN 株式会社,AIMENEXTと一緒に、AIでビジネスに「新価値」を今すぐ,お問合せください,お問合せください,なし,なし,https://ai-products.net/product/aime-solution/
6,オーダーメイドAI開発「カスタムAI」,株式会社 Laboro.AI,オーダーメイドAI開発「カスタムAI」,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/custom-ai/
7,Mobile AI Lab,"VITALIFY Asia Co.,Ltd.","PoCを実施してAIの検証をしたい！
無料でPoC検証ができる！",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/poc-mobile-ai-lab/
8,AI Development,株式会社SIGNATE,"20,000人を超えるAI開発人材による
オープンイノベーションでのコンペティション型AI開発",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/integration-ai-development/
9,人工知能研究開発支援,株式会社クラスキャット,人工知能研究開発支援,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/integration-ai_dev_services/
10,Third AI コンタクトセンターソリューション,日本サード・パーティ株式会社,チャットボットThirdAIは最適なAIを最適なコストで提供するAIソリューション,20万円～,100万円〜,なし,なし,https://ai-products.net/product2/third-ai/
11,akaminds,ＦＰＴジャパンホールディングス株式会社,"デジタルトランスフォーメーションによる
ビジネスの拡大を支援する",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/akaminds/
