,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,InspectAI,株式会社アラヤ,"外観検査パッケージソフト「InspectAI」
導入しやすく、高精度・高速処理を実現！",個別お見積り,ー,なし,なし,https://ai-products.net/product/inspectai/
1,Orizuru　～スマートファクトリーソリューション～,株式会社コアコンセプト・テクノロジー,"Orizuru
～スマートファクトリーソリューション～",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/orizuru/
2,セミカスタム/フルカスタム画像認識AI開発サービス,株式会社アラヤ,"セミカスタム/フルカスタム画像認識AI開発サービス
業界やお客様の業務課題に合わせ、
“本当に業務で使えるAI導入”を実現",200万円～（個別お見積り）,－,なし,あり,https://ai-products.net/product/semicustom/
3,不良・異常検出ソリューション,株式会社 Laboro.AI,"画像から判断
「不良・異常検出ソリューション」",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/anomaly/
4,安全管理ソリューション,株式会社 Laboro.AI,"映像から危険を察知
「安全管理ソリューション」",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/safety/
5,炎上リスクモニタリング,マスターピース・グループ株式会社,"2,000以上メディアを監視する「炎上リスクモニタリング」",5万円～,5万円～,なし,あり,https://ai-products.net/product/monitoring/
6,サプライチェーンの計画業務最適化サービス,株式会社グリッド,"サプライチェーンの計画業務最適化サービス
| 配送・配船 | 原材料・部品調達 | 生産 |",お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/optimization/
7,FLOW AI データラベリングサービス,日本FLOW株式会社,FLOW AI データラベリングサービス,お打合せ後お見積提示させていただきます。,お打合せ後お見積提示させていただきます。,なし,実データによるサンプル作成ご対応可能,https://ai-products.net/product/flow-ai/
8,VI-Thermal,株式会社ヴィンクス,温度異常監視システム「VI-Thermal」,お問い合わせ下さい,お問い合わせ下さい,なし,お問い合わせ下さい,https://ai-products.net/product/security-vi-thermal/
9,アイトラッキング（視線計測）,トビー・テクノロジー株式会社,目は口程に物を言う,お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/automation-support-eyetracking/
